id,trigger,conditions,script,text,options,notes
liminal_research_dialog_first_time,LiminalityResearchTeamDialog,!$global.liminalSeenStarting,"$global.liminalSeenStarting = true
Liminal_ShowAndCreatePerson liminal_jarn","On your screen, you see Jarn in the lab next to the floating, glowing Liminality.

""Thanks again for the credits! Don't tell Elna I said this, but you have no idea how close we were to having to shut everything down,"" Jorn says. ""Now we can get back to work! And also eat real food!""

""And speaking of credits,"" Jarn continues, ""feel free to invest as much as you'd like. The more funding we have, the faster we can give you shiny new toys to play with. You want cooler ships, right? You can also provide some resources directly.""

He pauses as he sees his sister enter the room.",liminal_reshow_start:Continue,
liminal_research_dialog,LiminalityResearchTeamDialog,,ShowImageVisual liminal_liminality,"""Ah, $PlayerSirOrMadam! Great to see you again. Here to discuss the project?"" Elna asks. ""We're making steady progress, though there are opportunities for additional funding.""","liminal_funding_options:Discuss funding opportunities
liminal_leave:Leave",
liminal_research_dialog_second_time,LiminalityResearchTeamDialog,"$global.liminalSeenStarting
!$global.liminalSeenIncreased
$global.liminal_increases > 0","$global.liminalSeenIncreased = true
SetTextHighlightColors ""255,165,0,255""
SetTextHighlights ""Liminality""
Liminal_AddRP 5
Liminal_ShowAndCreatePerson liminal_elna","""$PlayerSirOrMadam, we've hit a... complication,"" Elna says. ""The resource requirements needed to make further progress have increased. We need to raise the minimum research investment to maintain stability.""

""But we've also discovered something really cool!"" Jarn chimes in. ""The Liminality isn't really from our universe, but we already knew that. What we didn't know, is that it's actually a Tesseract! It's a projection of a four-dimensional object into our measly three dimensions. Well, I guess you could technically say everything is a projection of a four-dimensional object, what with time and all, but this is a different kind of projection!""",liminal_reshow_start:Continue,
liminal_research_dialog_third_time,LiminalityResearchTeamDialog,"$global.liminalSeenStarting
$global.liminalSeenIncreased
!$global.liminalSeenIncreasedThree
$global.liminal_increases >= 3","$global.liminalSeenIncreasedThree = true
SetTextHighlightColors ""255,165,0,255"" ""155,255,0,255""
SetTextHighlights ""Liminality"" ""Instructions""
Liminal_AddRP 5
Liminal_ShowAndCreatePerson liminal_elna","""I apologize, but we need to increase funding requirements again,"" Elna says gravely. ""The Liminality is... resistant to our attempts to understand it. Like it's actively changing to prevent us from learning too much.""

Jarn nods, his usual enthusiasm tempered. ""We've found fragments of what might be other Instructions embedded in its structure. Far more complex than anything we've managed to create. And they seem to be trying to do something, though we can't tell what. We think there might be some sort of sentience behind it, that allows us to copy the rules from somewhere else and use them in our own. Whatever it is, it's definitely not from this sector, or even our universe.""

""But the march of science must proceed.""",liminal_reshow_start:Continue,
liminal_research_dialog_fourth_time,LiminalityResearchTeamDialog,"$global.liminalSeenStarting
$global.liminalSeenIncreased
$global.liminalSeenIncreasedThree
!$global.liminalSeenIncreasedTen
$global.liminal_increases >= 10","$global.liminalSeenIncreasedTen = true
SetTextHighlightColors ""255,165,0,255"" ""155,255,0,255""
SetTextHighlights ""Liminality"" ""Instructions""
Liminal_AddRP 5
Liminal_ShowAndCreatePerson liminal_elna","The researchers look deeply troubled as they explain the latest cost increase. ""We've discovered something... disturbing,"" Elna says quietly. ""The Liminality is getting increasingly aggressive. Though we still have control over our local instance, we feel like there might be more of them coming. Our best guess is that our version was the attempt of some being from outside our reality to come inside.""

""We can keep researching if you think it's a good idea, but something might happen and we understand if you want us to stop. The symbols, the Instructions - they're a language for rewriting the laws of physics,"" Jarn adds, his usual enthusiasm completely gone. ""But we're only seeing a tiny piece of it. Whatever is trying to get inside, it created the entire language.""",liminal_reshow_start:Continue,
liminal_back,liminal_rt_options,,,,99:liminal_back_execute:Back,
liminal_back_execute,DialogOptionSelected,$option == liminal_back_execute,FireBest LiminalityResearchTeamDialog,,,
liminal_funding_options,DialogOptionSelected,$option == liminal_funding_options,"Liminal_ShowAndCreatePerson liminal_jarn
FireAll liminal_rt_options","""With some additional stuff, we should be able to speedup our research! Don't keep coming back with shiploads of metal though, we don't need that much.""",,
liminal_metals,liminal_rt_options,!$player.liminalGaveMetals,,,"liminal_metals_give:2,000 Metals",
liminal_give_cond1,liminal_rt_options,"!$player.liminalGaveMetals
$player.metals < 2000
","SetTooltip liminal_metals_give ""Requires at least 2,000 metals.""
SetTooltipHighlights liminal_metals_give ""2,000""
SetEnabled liminal_metals_give false",,,
liminal_metals_give,DialogOptionSelected,$option == liminal_metals_give,"RemoveCommodity metals 2000
Liminal_AddRP 4
$player.liminalGaveMetals = true
FireAll liminal_rt_options","""Thanks! This should really help!""",,
liminal_supplies,liminal_rt_options,!$player.liminalGaveSupplies,,,"liminal_supplies_give:10,000 Supplies",
liminal_give_cond3,liminal_rt_options,"!$player.liminalGaveSupplies
$player.supplies < 10000
","SetTooltip liminal_supplies_give ""Requires at least 10,000 supplies.""
SetTooltipHighlights liminal_supplies_give ""10,000""
SetEnabled liminal_supplies_give false",,,
liminal_supplies_give,DialogOptionSelected,$option == liminal_supplies_give,"RemoveCommodity supplies 10000
Liminal_AddRP 15
$player.liminalGaveSupplies = true
FireAll liminal_rt_options","""This... this is incredible! With these resources, we can run experiments for months!""",,
liminal_alpha,liminal_rt_options,!$player.liminalGaveAlpha,,,"liminal_alpha_give:1 Alpha Core",
liminal_give_cond4,liminal_rt_options,"!$player.liminalGaveAlpha
$player.alpha_core < 1
","SetTooltip liminal_alpha_give ""Requires 1 alpha core.""
SetTooltipHighlights liminal_alpha_give ""1""
SetEnabled liminal_alpha_give false",,,
liminal_alpha_give,DialogOptionSelected,$option == liminal_alpha_give,"RemoveCommodity alpha_core 1
Liminal_AddRP 15
$player.liminalGaveAlpha = true
FireAll liminal_rt_options","""An Alpha Core? Are you sure about this?"" Elna asks nervously. ""Well... I suppose we can use it just for calculations...""",,
liminal_gamma,liminal_rt_options,!$player.liminalGaveGamma,,,"liminal_gamma_give:2 Gamma Cores",
liminal_give_cond5,liminal_rt_options,"!$player.liminalGaveGamma
$player.gamma_core < 2
","SetTooltip liminal_gamma_give ""Requires 2 gamma cores.""
SetTooltipHighlights liminal_gamma_give ""2""
SetEnabled liminal_gamma_give false",,,
liminal_gamma_give,DialogOptionSelected,$option == liminal_gamma_give,"RemoveCommodity gamma_core 2
Liminal_AddRP 6
$player.liminalGaveGamma = true
FireAll liminal_rt_options","""These will help automate some of our more tedious calculations. Thanks!""",,
,,,,,,
liminal_reshow_start,DialogOptionSelected,$option == liminal_reshow_start,FireBest LiminalityResearchTeamDialog,,,
liminal_leave,DialogOptionSelected,$option == liminal_leave,DismissDialog,,,
