name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Liminal Connection 150%,liminal_connection_150,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod150,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis3.png
Liminal Connection 175%,liminal_connection_175,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod175,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis4.png
Liminal Connection 200%,liminal_connection_200,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod200,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis5.png
Liminal Connection 225%,liminal_connection_225,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod225,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis6.png
Liminal Connection 250%,liminal_connection_250,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod250,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis6.png
Liminal Connection 275%,liminal_connection_275,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod275,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis6.png
Liminal Connection 300%,liminal_connection_300,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod300,An incomprehensible mass of symbols. Applies the effect of %s positive instructions with %s of their max positive effect.,,,graphics/liminal/icons/intel_crisis6.png
Liminal Boss Module Hullmod,liminal_boss_module_hullmod,10,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,TRUE,0,0,0,0,liminal.hullmods.LiminalBossModuleHullmod,Gives Liminal faction buffs.,,,graphics/liminal/icons/intel_crisis.png
Polymorphic,liminal_polymorphic,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,,0,0,0,0,liminal.hullmods.Polymorphic,The ship shifts and changes before your very eyes.,,,graphics/liminal/icons/intel_crisis.png
,,,,,,,,,,,,,,,,,,,
# Deprecated, only kept for backwards compatability
Deprecated,liminal_faction_hullmod,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,TRUE,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod25,Deprecated,,,graphics/liminal/hullmods/liminal_instructions_4.png
Deprecated,liminal_boss_hullmod,4,,Liminal,"no_build_in,no_drop,req_spaceport,no_drop_salvage,hide_in_codex","Special, Requires Dock",,FALSE,TRUE,TRUE,0,0,0,0,liminal.hullmods.MultipliedInstructionsHullmod25,Deprecated,,,graphics/liminal/hullmods/liminal_instructions_4.png
